url	download_complete
fano.ics.uci.edu/cites/Organization/Univ-of-Nevada-Los-Vegas-Dept-of-Computer-Science.html	complete
fano.ics.uci.edu/cites/Author/Mario-Gerla.html	complete
www.ics.uci.edu/~eppstein/pix/sv/mad/MadonnaRotunda.html	complete
www.ics.uci.edu/~eppstein/gina/medic.html	complete
www.ics.uci.edu/~eppstein/pix/action/quadmeet-ss3.html	complete
www.ics.uci.edu/community/events/openhouse/gallery_04.html	complete
www.ics.uci.edu/~eppstein/pix/gpss/index.html	complete
www.ics.uci.edu/~eppstein/pix/bar/mj/Sunset7.html	complete
fano.ics.uci.edu/cites/Author/Barry-Steyn.html	complete
ngs.ics.uci.edu/entrepreneurship/current-companies	complete
fano.ics.uci.edu/cites/Organization/Toyota-Technological-Inst.html	complete
fano.ics.uci.edu/cites/Author/Jan-Brandts.html	complete
www.ics.uci.edu/~wengl	complete
vision.ics.uci.edu/people/12.html	complete
www.ics.uci.edu/~eppstein/junkyard/pytho.html	incomplete
fano.ics.uci.edu/cites/Organization/Univ-de-Rouen-Lab-dInformatique-(LIR).html	complete
wics.ics.uci.edu/first-android-app-development-meeting	complete
fano.ics.uci.edu/cites/Author/Roberto-Mameli.html	complete
wics.ics.uci.edu/cia-info-session-with-wics	complete
fano.ics.uci.edu/cites/Document/Topology-control-and-routing-in-ad-hoc-networks-a-survey.html	complete
isg.ics.uci.edu/alumni	complete
fano.ics.uci.edu/cites/Location/Proc-Int-Conf-Parallel-and-Distributed-Processing-Techniques-and-Applications-(PDPTA-2001).html	complete
www.ics.uci.edu/~mjcarey/MJCarey_Patents.html	complete
fano.ics.uci.edu/cites/Author/Andrew-A-Johnson.html	complete
fano.ics.uci.edu/ca/rules/b123567s0238	complete
fano.ics.uci.edu/cites/Publication/Caz-ICGA-02.html	complete
sdcl.ics.uci.edu/author/andre/page/8	complete
sdcl.ics.uci.edu/author/andre/page/9	complete
sdcl.ics.uci.edu/author/andre/page/6	complete
sdcl.ics.uci.edu/author/andre/page/7	complete
sdcl.ics.uci.edu/author/andre/page/4	complete
cml.ics.uci.edu/2007/01/2007_jainbestpaper	complete
sdcl.ics.uci.edu/author/andre/page/2	complete
sdcl.ics.uci.edu/author/andre/page/3	complete
www.ics.uci.edu/~eppstein/pix/mendocino3/NoyoIce.html	complete
fano.ics.uci.edu/cites/Organization/Southern-Poro-Communications.html	complete
www.ics.uci.edu/~thornton/ics22/index.html	complete
swiki.ics.uci.edu/doku.php/projects:maint-winter-2019	complete
www.ics.uci.edu/~thornton/ics32/Notes/Recursion/sum_numbers3.py	complete
fano.ics.uci.edu/cites/Publication/KuiMie-QoFIS-03.html	incomplete
www.ics.uci.edu/~eppstein/pix/bar/mj/Sunset6.html	complete
www.ics.uci.edu/~andre/teaching.html	complete
fano.ics.uci.edu/cites/Publication/KeiVas-CCCG-03.html	complete
fano.ics.uci.edu/cites/Author/Giuseppe-Amato.html	complete
fano.ics.uci.edu/cites/Author/Hans-Peter-Lenhof.html	complete
www.ics.uci.edu/~eppstein/pix/hotshots/bliz/Kaitlyn.html	complete
www.ics.uci.edu/~sjordan/research/dca.html	complete
www.ics.uci.edu/~eppstein/junkyard/all.html	complete
www.ics.uci.edu/community/news/student_blogs/blog_posts/Nguyen_Dang-February2017.php	complete
www.ics.uci.edu/~eppstein/pix/charlotte/FerdLei.html	incomplete
wics.ics.uci.edu/wics-spring-quarter-week-7-women-in-tech-panel-with-sendgrid	complete
fano.ics.uci.edu/cites/Author/Ulrik-Brandes.html	complete
www.ics.uci.edu/~eppstein/pix/bar/sf/ScaffoldedColumns1.html	complete
fano.ics.uci.edu/cites/Author/Sergey-Bereg.html	complete
fano.ics.uci.edu/cites/Document/Incremental-construction-and-dynamic-maintenance-of-constrained-Delaunay-triangulations.html	complete
fano.ics.uci.edu/cites/Author/Fedor-V-Fomin.html	complete
fano.ics.uci.edu/cites/Publication/BadIndSid-SODA-07.html	complete
fano.ics.uci.edu/cites/Location/Proc-12th-Int-Conf-in-Central-Europe-on-Computer-Graphics-Visualization-and-Computer-Vision-(WSCG-2004).html	complete
mhcid.ics.uci.edu/program/events/career-conference	complete
wics.ics.uci.edu/fall-quarter-2016-week-6-facebook-diversity-panel	complete
cml.ics.uci.edu/2014/03/spring-2014	complete
www.ics.uci.edu/~eppstein/pix/bar/mj/BrickWalls.html	complete
fano.ics.uci.edu/cites/Author/Liisa-Raeihae.html	complete
fano.ics.uci.edu/cites/Organization/Univ-Kaiserslautern-Fachb-Informatik.html	complete
cloudberry.ics.uci.edu/hello-world	complete
fano.ics.uci.edu/cites/Author/A-M-Tjoa.html	complete
